variable,base_year5_revenue_inr_cr,low_case_inr_cr (-10% shift),high_case_inr_cr (+10% shift),revenue_swing_inr_cr
Novo Nordisk market share,2082.5,1874.2,2290.8,416.6
Insulin price (blended),2082.5,1884.7,2280.3,395.6
Patient adoption / initiation rate,2082.5,1936.7,2228.3,291.6
Overall market growth (population CAGR),2082.5,1936.7,2228.3,291.6
Competitor pricing (biosimilar discount depth),2082.5,1957.5,2207.5,250.0
Treatment persistence / adherence,2082.5,1968.0,2197.0,229.0
Distribution cost / cold-chain loss,2082.5,2020.0,2145.0,125.0
Access-program expenditure (opportunity cost),2082.5,2040.8,2124.2,83.4
